,0
Date,int64
Round,int64
会場,object
試合タイプ,object
天候,object
風向,object
風速,int64
波高,int64
選手登番_1,int64
選手登番_2,object
選手登番_3,object
選手登番_4,object
選手登番_5,object
選手登番_6,object
選手名_1,object
選手名_2,object
選手名_3,object
選手名_4,object
選手名_5,object
選手名_6,object
展示タイム_1,float64
展示タイム_2,float64
展示タイム_3,float64
展示タイム_4,float64
展示タイム_5,float64
展示タイム_6,float64
スタートタイム_1,float64
スタートタイム_2,float64
スタートタイム_3,float64
スタートタイム_4,float64
スタートタイム_5,float64
スタートタイム_6,float64
進入順位_1,float64
進入順位_2,float64
進入順位_3,float64
進入順位_4,float64
進入順位_5,float64
進入順位_6,float64
