,Date,Round,会場,艇番,選手登番,選手名,年齢,支部,体重,級別,全国勝率,全国２連率,当地勝率,当地２連率,モーター２連率,ボート２連率,展示タイム,スタートタイム
0,20231021,1,大村,1,3859,多羅尾達,50,東京,54,B1,5.05,28.38,3.82,9.09,39.33,33.71,6.99,0.2
1,20231021,1,大村,2,4864,小川日紀,34,福岡,53,B1,4.48,23.91,4.39,26.09,25.88,21.52,6.99,0.2
2,20231021,1,大村,3,3772,一柳和孝,49,埼玉,54,B1,5.52,33.60,0.00,0.00,28.57,33.33,6.99,0.2
3,20231021,1,大村,4,3577,向所浩二,50,兵庫,59,B1,4.50,25.64,5.57,28.57,28.89,20.24,6.99,0.2
4,20231021,1,大村,5,3906,飯山晃三,45,長崎,59,B1,4.44,24.79,5.26,35.96,25.88,23.66,6.99,0.2
5,20231021,1,大村,6,4336,松田竜馬,39,福岡,54,B1,4.88,30.23,5.92,41.67,43.82,36.90,6.99,0.2
0,20231021,2,大村,1,3870,寺嶋雄,47,福井,52,B1,4.96,29.00,3.73,18.18,18.29,28.17,6.99,0.2
1,20231021,2,大村,2,5122,相馬翔,22,埼玉,56,B1,3.40,9.68,4.96,29.63,27.50,36.27,6.99,0.2
2,20231021,2,大村,3,4669,井上茂,38,福岡,54,B1,4.16,18.03,4.08,20.34,18.67,28.41,6.99,0.2
3,20231021,2,大村,4,4497,桑原悠,36,長崎,51,A1,6.15,41.41,7.31,59.24,21.05,33.72,6.99,0.2
4,20231021,2,大村,5,4022,待鳥雄紀,43,福岡,57,A2,5.90,43.36,5.95,50.00,30.12,32.91,6.99,0.2
5,20231021,2,大村,6,5193,米丸乃絵,22,福岡,47,B1,4.89,26.14,1.07,0.00,17.07,21.43,6.99,0.2
0,20231021,3,大村,1,3877,松浦博人,46,三重,58,B1,4.87,24.18,0.00,0.00,47.06,41.25,6.99,0.2
1,20231021,3,大村,2,3843,上之晃弘,47,長崎,52,B1,5.56,34.82,5.03,30.77,24.36,28.40,6.99,0.2
2,20231021,3,大村,3,3523,寳田亮治,54,福岡,53,A2,4.89,28.95,5.12,33.33,42.86,43.24,6.99,0.2
3,20231021,3,大村,4,4533,峰重侑治,34,岡山,51,B1,5.52,38.14,4.92,30.61,32.56,27.27,6.99,0.2
4,20231021,3,大村,5,4288,永田啓二,39,福岡,53,A1,7.50,63.83,7.23,50.00,31.40,24.68,6.99,0.2
5,20231021,3,大村,6,5038,金田智博,25,福井,52,A2,6.54,53.04,7.09,54.55,41.86,39.24,6.99,0.2
0,20231021,4,大村,1,5051,松本純平,28,埼玉,54,A1,6.49,47.79,6.00,28.57,21.95,33.33,6.99,0.2
1,20231021,4,大村,2,3334,角ひとみ,55,広島,45,B1,4.55,26.80,5.16,35.29,29.55,40.96,6.99,0.2
2,20231021,4,大村,3,4301,関裕也,40,福岡,53,B1,4.71,32.53,6.41,53.85,16.88,29.35,6.99,0.2
3,20231021,4,大村,4,4458,抹香雄三,37,広島,53,B1,4.40,25.89,4.06,12.90,34.12,34.52,6.99,0.2
