3連単,予想確率,標準化値,min-max処理値,予想確率[%]
1-2-4,0.07431147009214532,5.973530305046167,1.0,0.1445458553293705
1-2-5,0.06332719149464923,5.036387172881421,0.8521619429592046,0.12317647692417646
1-2-3,0.05624861675257847,4.4324660645294705,0.7568909857272623,0.10940545492303749
1-4-5,0.03873070300134587,2.9378943076218973,0.5211163456902903,0.07532520791391893
1-4-3,0.0344014698625111,2.568538134834741,0.46284894013961064,0.06690289594077263
1-2-6,0.033409503819382014,2.483906799566991,0.4494980103388972,0.06497307437328612
1-4-2,0.032288946956820094,2.38830451138492,0.4344163690736577,0.06279308563683135
1-4-6,0.02043314316189355,1.3768056674607647,0.27484840271687117,0.03972819745662142
3-2-4,0.007454991572272089,0.2695517388159474,0.10017469083305998,0.014479836368819905
2-4-5,0.0067034204467073455,0.20543012059544072,0.09005925048390645,0.013017691391518283
3-2-5,0.006353039151329773,0.1755367214352146,0.0853434478508719,0.012336041666361807
2-4-3,0.005954126793544902,0.1415028089560687,0.0799744627708757,0.011559977125723127
2-4-1,0.005569603543071846,0.10869652858544587,0.07479914153950179,0.010811905891729933
2-1-4,0.005330901544700184,0.08833124592965122,0.07158643718775073,0.010347522793285687
3-2-1,0.005278485759296314,0.08385930060595416,0.0708809700236038,0.010245550438637282
4-2-5,0.005276473941611807,0.08368765882634446,0.07085389285008187,0.010241636545430652
1-3-4,0.005020288545255329,0.06183074918722586,0.06740587840804092,0.009743240348717822
4-2-3,0.004686681242950227,0.03336845287707019,0.06291583794251138,0.009094223609164368
2-1-5,0.004542919451623567,0.021103161696255493,0.06098093946758718,0.008814542054130957
4-2-1,0.0043840108484560925,0.007545593506548568,0.05884217915385102,0.00850539311523745
1-3-5,0.004278219414439794,-0.0014801895660725018,0.057418325969710714,0.008299581038872442
2-1-3,0.00403512186694398,-0.022220486260088136,0.05414646166162988,0.00782664661393926
3-4-5,0.0038854979467527195,-0.03498591532037885,0.05213266444667711,0.0075355605730440065
1-3-2,0.0035666587238988184,-0.062188246844489176,0.04784138843826789,0.00691527441195409
2-4-6,0.003536521133044652,-0.06475948864596817,0.047435764815721926,0.006856643198491385
1-5-4,0.003483550069622027,-0.0692788084947284,0.0467228241317911,0.006753590577533498
3-2-6,0.0033516705980711227,-0.0805303385738743,0.04494785050338214,0.006497025496228047
3-4-2,0.0032392553550905675,-0.09012124360917387,0.043434847081582316,0.006278327122507728
3-4-1,0.0032283046099938458,-0.09105552577148344,0.04328746035391707,0.006257022981893158
3-1-4,0.003089945971753508,-0.10285983740212216,0.04142528323680311,0.00598785299772514
1-6-4,0.0028834719083449863,-0.12047553685620853,0.0386463365729237,0.005586167775279989
4-2-6,0.0027837074745379214,-0.12898711575934263,0.037303601142016696,0.005392080933938485
1-5-3,0.0026368052275324142,-0.14152034046398207,0.035326435087873476,0.005106289775514157
3-1-5,0.002633208574917392,-0.1418271952352839,0.03527802752703677,0.0050992926632286075
1-5-2,0.0024748844880038323,-0.1553348943882459,0.03314713425222542,0.0047912808722053975
1-6-5,0.0024572542769343694,-0.1568390469892304,0.03290984819592286,0.00475698215623941
2-1-6,0.002396706394013804,-0.16200479657783404,0.03209493064904359,0.004639189202402834
1-3-6,0.002257058689851382,-0.17391908714473756,0.030215403917239248,0.004367511403339759
3-1-2,0.0021952488700965993,-0.17919250110355134,0.029383501887672022,0.004247263412925725
4-1-5,0.002186993673015879,-0.1798968078252169,0.029272394700607343,0.004231203329538221
1-6-3,0.0021825877766676926,-0.18027270465513467,0.029213095480375668,0.004222631873029468
3-4-6,0.002049870765281046,-0.19159569092487277,0.027426849353649096,0.003964437398813001
1-6-2,0.002048559588618778,-0.19170755627799477,0.027409202149195348,0.003961886568551062
4-1-3,0.0019425363110280702,-0.20075311949471591,0.025982228568638122,0.003755623451817003
4-1-2,0.0018232491855481425,-0.2109303113245618,0.024376736072758236,0.0035235561657751594
1-5-6,0.0015661603681333613,-0.23286429792715396,0.020916562433118298,0.0030234024074452634
3-1-6,0.0013892009082443735,-0.24796190684471642,0.018534854568303213,0.002679136406980878
5-2-4,0.0013046084194824404,-0.2551790644552344,0.017396319245495555,0.0025145658449229444
4-1-6,0.0011537914716739331,-0.26804627877416204,0.015366465001092523,0.002221158826971755
5-2-3,0.0009874978776312944,-0.2822339105058968,0.013128309657217821,0.0018976427484313847
5-2-1,0.0009237243123532263,-0.28767486488296673,0.012269977460197333,0.0017735743868563206
2-3-4,0.0008688999236978948,-0.29235230444783594,0.011532092762052372,0.0016669162120285027
2-3-5,0.0007404643157977141,-0.3033100152160694,0.009803470298748817,0.0014170509995287271
2-3-1,0.0006152221406328366,-0.3139952726293231,0.008117828436008815,0.0011733984546999801
5-4-3,0.0006039504691476591,-0.31495693519337703,0.007966122341049552,0.0011514699674454148
2-5-4,0.0006029247845829608,-0.31504444328387593,0.007952317591667434,0.001149474548138369
5-2-6,0.0005865355633450666,-0.31644271864518386,0.007731734091101973,0.0011175901173775876
5-4-2,0.0005668631236046821,-0.31812110759280476,0.007466961558007851,0.0010793183451137738
5-4-1,0.0005649467654016861,-0.3182846050781211,0.007441169179308568,0.001075590163673707
5-1-4,0.0005407342840586044,-0.32035033569501464,0.00711529195704714,0.0010284859618495694
2-6-4,0.0004990646451017002,-0.32390545455162756,0.0065544578152051305,0.0009474197111191026
2-5-3,0.00045637214681105537,-0.32754784045916935,0.005979856948932028,0.0008643635374306598
2-5-1,0.00042689919344576847,-0.33006237753920903,0.005583178721763683,0.000807025343794073
2-6-5,0.00042529588378988455,-0.33019916673473143,0.005561599682024586,0.0008039061830377987
5-1-3,0.0004092982613757663,-0.33156403215063346,0.005346286733251184,0.0007727835886938585
2-3-6,0.00039064649486074366,-0.33315534055902346,0.00509525150162586,0.0007364974864207694
5-1-2,0.0003841641041472677,-0.3337083971738227,0.005008004620590073,0.0007238863113766317
2-6-3,0.00037775724154398446,-0.3342550099744811,0.00492177427686841,0.0007114220725880384
6-2-4,0.0003637176619860366,-0.3354528215052457,0.004732814743013375,0.0006841087551443232
5-4-6,0.00035872323037670645,-0.3358789302606097,0.004665594391800242,0.0006743923319826801
4-3-5,0.00035646477798872,-0.33607161411562453,0.004635197747178072,0.0006699986229866256
