3連単,予想確率,標準化値,min-max処理値,予想確率[%]
1-2-4,0.03616188443648275,5.897953446852238,1.0,0.07460854675925019
1-2-3,0.0318048883378749,5.093691929116249,0.8788681073571806,0.06557107228297192
1-2-6,0.020325011001006033,2.974611865371593,0.5597080168611958,0.04175900174751571
1-3-4,0.01630868160017335,2.2332342954734985,0.44804723709705696,0.033428153239308624
1-4-3,0.015760681048449257,2.132078419848408,0.43281189088665784,0.0322914661991767
1-4-2,0.015013173450757096,1.9940953734024465,0.4120299099015773,0.030740952799101467
2-1-4,0.013781794538507268,1.766794120323387,0.3777954844337791,0.02818677206581118
1-3-2,0.013663413038214374,1.7449419811562557,0.37450427763445315,0.02794121990942931
2-1-3,0.012121283036636775,1.4602789271747991,0.3316304440195791,0.024742465489425665
1-2-5,0.010719261520521016,1.2014786145442549,0.29265186429872025,0.02183433030171281
1-4-6,0.010071911345514956,1.0819837096891904,0.2746544297987905,0.020491567868278257
1-6-4,0.009814815229804109,1.0345261247967685,0.2675067210603955,0.019958287706648214
1-3-6,0.009166395449265157,0.9148337805706803,0.2494795497097438,0.018613306649996098
1-6-3,0.008632268680275543,0.8162388779889989,0.23462991822635118,0.01750539722510977
1-6-2,0.00822285195494558,0.7406643056349899,0.22324743779799144,0.016656166901834243
3-2-4,0.008063755397301987,0.7112965403166109,0.21882428324284192,0.016326161768382978
2-3-4,0.007958266018297992,0.6918241684937652,0.2158914993148158,0.016107351021554063
2-1-6,0.007746142934027091,0.6526681927156219,0.20999411724482117,0.015667355915627706
2-4-3,0.007690854201959138,0.6424623998803063,0.20845699657598404,0.01555267357633216
4-2-3,0.006887105584289971,0.4940977769853366,0.18611141970057107,0.013885502559160493
3-1-4,0.006297852204521797,0.38532700767139616,0.16972917479557714,0.012663247074144764
4-1-3,0.0053788800564693795,0.21569317788993395,0.14418018804867727,0.010757074301787222
1-4-5,0.005311852068308038,0.20332042605142409,0.1423166961193138,0.010618041877039823
3-1-2,0.0052763404200064585,0.19676530148533586,0.14132941197393417,0.0105443820417146
5-2-4,0.0052409974477426275,0.19024131296873104,0.14034681730892898,0.01047107208170517
1-5-4,0.005187936734376547,0.18044679195054755,0.13887163934467395,0.010361011197580833
4-1-2,0.00512376711452698,0.16860166868563478,0.13708761490980426,0.010227907727112214
2-4-6,0.004914863859962149,0.13004004393917634,0.13127974957506866,0.009794591334714164
1-3-5,0.004834289635381919,0.11516678110288382,0.12903964926266553,0.009627460705810826
2-6-4,0.004789406797812116,0.10688182094978166,0.12779183013706483,0.009534362734231357
2-4-1,0.00465117077830127,0.08136471963929427,0.12394863397719019,0.009247627453832381
5-2-3,0.004609531311824369,0.07367845604196638,0.12279098607739154,0.009161257026369505
1-5-3,0.0045628636646584605,0.06506403640757331,0.12149354621321538,0.009064456923595803
3-2-6,0.004532283638245204,0.05941924400957442,0.12064336953353262,0.009001026477036067
2-3-6,0.00447299267976345,0.04847467688641507,0.11899498017192715,0.008878042542273276
4-2-6,0.004401225851784795,0.03522717868194049,0.11699974044591416,0.00872918060587912
1-5-2,0.004346453266777761,0.025116661860005152,0.11547696954213443,0.008615568881700847
3-2-1,0.004289116813368134,0.014532878446575137,0.11388291874159456,0.008496639068012147
2-3-1,0.00423300694311225,0.004175511033190058,0.11232296903628958,0.008380253487481821
2-6-3,0.004212350954127689,0.00036260492194321295,0.11174869745479596,0.008337407919341447
4-2-1,0.00416509056075527,-0.00836123022554444,0.11043477823919821,0.008239378316106645
5-1-4,0.004093257508927252,-0.021620952745210947,0.1084376973776804,0.008090379015268089
2-1-5,0.004085258890195063,-0.02309742440039499,0.10821532218990643,0.008073787925672957
5-1-3,0.0036000778177991874,-0.11265740031741787,0.09472646421443941,0.007067403834681442
3-1-6,0.0035397468172448424,-0.12379394966798353,0.09304915991652694,0.006942262598541148
4-1-6,0.003437389723221927,-0.1426881304124232,0.09020345883169549,0.006729948976090652
5-1-2,0.003429331038975648,-0.1441756896105915,0.0899794137205983,0.006713233295943175
3-4-2,0.003347794517092054,-0.1592265837029608,0.0877125599085354,0.006544106627309496
4-3-2,0.002958707706698215,-0.2310484402243359,0.07689528564923027,0.005737045514926496
5-2-6,0.0029457350589325187,-0.2334430720176549,0.07653462400508754,0.005710137073785205
1-5-6,0.0029159119565225463,-0.23894814318710217,0.07570549109846068,0.005648276672551502
1-6-5,0.002909349799196906,-0.240159457241762,0.07552305197786363,0.005634665154891721
5-2-1,0.0027876899985648873,-0.2626167405831515,0.07214070286035738,0.005382313002602147
2-4-5,0.0025920631014705944,-0.2987276715103814,0.06670194281546192,0.004976535019480223
2-6-1,0.002547488634071011,-0.3069557093584109,0.0654626969044127,0.004884076682979497
2-5-4,0.0025315952343952734,-0.30988948516538894,0.06502083339577518,0.004851109888734108
6-2-4,0.0025273553235951006,-0.31067213381093206,0.06490295667331822,0.004842315277774851
3-2-5,0.002390293102479703,-0.3359725627036174,0.06109239410273396,0.004558014742048367
5-3-4,0.002363642270708755,-0.3408920618089478,0.0603514557085151,0.004502734405217565
2-3-5,0.0023590234864516073,-0.34174464701964735,0.06022304566037301,0.004493153918136398
4-2-5,0.0023211741884825504,-0.3487312802735908,0.059170770883340544,0.0044146452262305924
5-1-6,0.0023006407214487762,-0.3525215699564853,0.05859990562020324,0.004372053798552581
5-4-3,0.0022842197091441823,-0.3555527382155237,0.0581433735842434,0.004337992606800576
3-4-6,0.0022459401864468455,-0.3626187870083161,0.05707913782895463,0.004258591523689247
2-5-3,0.0022265737806906535,-0.36619364788357434,0.05654071885178688,0.00421842086625516
6-2-3,0.002222844719230958,-0.3668819984263402,0.056437044608759986,0.0042106858816465574
3-6-4,0.002188610204257168,-0.37320137589389707,0.055485266939321834,0.004139675132891871
5-4-2,0.002175882285010378,-0.3755508330472591,0.05513140916371783,0.004113274318494595
3-4-1,0.0021254406353169108,-0.38486189893334916,0.05372904561848811,0.004008646012356856
4-3-6,0.001984912904450159,-0.4108020291407186,0.0498221359900564,0.0037171571626598444
5-3-2,0.001980259435498045,-0.4116610168279833,0.04969276164847638,0.003707504731046624
6-1-4,0.0019738830745831978,-0.4128380345693226,0.049515487983706294,0.0036942786005394416
4-3-1,0.0018784180318522153,-0.4304600058586895,0.046861397632116025,0.0034962607764395443
4-6-3,0.0018692518332856208,-0.4321520020423432,0.04660656174161196,0.0034772478409869365
3-1-5,0.0018668364729840135,-0.4325978554005023,0.04653941062232554,0.00347223779356372
3-6-2,0.0018336175745866886,-0.4387297593632087,0.04561586881891123,0.0034033336817395608
4-1-5,0.0018128540933799937,-0.4425625075527503,0.04503860877104839,0.0033602651484663393
4-6-2,0.0017805957693068062,-0.4485170983055423,0.04414177256554452,0.003293353502492615
6-1-3,0.001736058055531078,-0.45673835177170985,0.04290354846767078,0.0032009714019879715
6-1-2,0.001653719190696817,-0.4719373510137382,0.04061438815866289,0.003030180478033937
5-4-6,0.0014597375794519892,-0.5077445772636049,0.03522136985518139,0.0026278152197651457
2-5-6,0.0014228987728655844,-0.5145446830764678,0.03419718845507874,0.0025514025338856327
5-6-4,0.0014224762445613302,-0.5146226779260328,0.034185441450484036,0.0025505261069440474
2-6-5,0.0014196965892107867,-0.5151357768089364,0.03410816231001988,0.002544760422579213
5-4-1,0.0013814194994991396,-0.5222013764948857,0.033043994195866115,0.0024653643860746686
2-5-1,0.0013465571746038374,-0.5286366419157246,0.03207476234416762,0.002393051406146667
6-2-1,0.001344301963253269,-0.5290529332463969,0.03201206363776042,0.0023883735467779407
5-3-6,0.001328499769943709,-0.531969873194717,0.03157273582103222,0.0023555959368209353
5-3-1,0.0012572228824644853,-0.5451269328766971,0.029591117273150943,0.0022077502567323377
5-6-3,0.001251087957017793,-0.5462593838450444,0.02942055592451493,0.002195024922377307
5-6-2,0.0011917505622455042,-0.557212522681526,0.027770875555152633,0.0020719446674019233
3-4-5,0.0011844923585418886,-0.5585523205134708,0.027569085162894306,0.0020568893794855503
3-6-1,0.0011641232108961668,-0.562312278344457,0.02700278825786938,0.002014638790367379
3-5-4,0.0011568604207054178,-0.5636529227998597,0.02680087035347781,0.0019995739889560513
6-3-4,0.0011398143073935612,-0.5667994789714554,0.02632695944767533,0.0019642161849807685
4-6-1,0.0011304608403640557,-0.5685260431957492,0.026066917175794888,0.0019448148089797946
6-4-3,0.0011015145303405805,-0.5738692665325282,0.02526216058689417,0.0018847730893869809
6-4-2,0.0010492711991122697,-0.5835129063050519,0.023809707234532202,0.001776407655531653
4-3-5,0.0010468284871877833,-0.5839638085219272,0.02374179569366836,0.0017713408741596203
4-5-3,0.0009880532668873003,-0.5948131751071388,0.02210774472957156,0.0016494267063978066
3-5-2,0.0009692176316381428,-0.5982900606149889,0.02158408207410366,0.0016103569966812567
6-3-2,0.0009549363983302569,-0.60092624529714,0.021187039529032153,0.0015807342293918773
4-5-2,0.0009411912485739805,-0.6034634738725853,0.020804901017324802,0.0015522234303726491
5-6-1,0.0007566160525164395,-0.6375343621538687,0.01567339703445154,0.001169369375521171
6-2-5,0.0007491695494044867,-0.6389089183295233,0.01546637159878277,0.0011539235086237233
6-4-1,0.0006661590586503719,-0.6542318935562502,0.013158538948331685,0.0009817394684100192
3-5-6,0.000650220560788703,-0.6571739940747138,0.012715421633518298,0.0009486791295079313
3-6-5,0.0006487572622804207,-0.6574441055580699,0.012674739449325787,0.0009456438908663359
4-5-6,0.0006314184569907582,-0.6606446899842181,0.012192691209353011,0.0009096789722141127
4-6-5,0.000629997471955933,-0.6609069907884704,0.01215318541159925,0.0009067315020551398
3-5-1,0.0006153348206504281,-0.6636135817346424,0.011745538798290376,0.0008763175806448348
6-3-1,0.0006062679817390042,-0.6652872370372716,0.011493465274979374,0.0008575107413941169
4-5-1,0.0005975414904082631,-0.666898067298151,0.01125085399254983,0.0008394098661846506
6-1-5,0.0005851069217521496,-0.6691933746230655,0.01090515186167269,0.0008136175325883311
6-4-5,0.0003712455203093318,-0.7086702278074197,0.00495944162147036,0.00037001673211524286
6-5-4,0.00036258507343917755,-0.7102688668666303,0.004718666487232897,0.0003520528492540224
6-3-5,0.00033786866575616657,-0.7148312890277314,0.0040315083686081775,0.00030078498062961165
6-5-3,0.0003188986955026854,-0.7183329715452682,0.003504110971829157,0.00026143662729131723
6-5-2,0.00030377376549175594,-0.7211248949004733,0.003083612225250192,0.00023006382689497447
6-5-1,0.0001928592396645157,-0.7415986990678185,0.0,0.0
