Date,Round,会場,艇番,選手登番,選手名,年齢,支部,体重,級別,全国勝率,全国２連率,当地勝率,当地２連率,モーター２連率,ボート２連率
20160102,1,大村,1,3151,落合敬一,51,長崎,56,A1,5.81,39.55,7.04,58.41,27.91,31.96
20160102,1,大村,2,4004,山本浩輔,37,長崎,52,B1,5.04,26.04,5.54,35.48,39.47,37.25
20160102,1,大村,3,2912,尾崎鉄也,60,長崎,54,B1,5.46,35.51,5.52,35.98,28.89,31.31
20160102,1,大村,4,4315,山崎昂介,31,長崎,53,B1,4.84,25.81,4.95,28.00,28.03,31.63
20160102,1,大村,5,4390,松本弓雄,29,徳島,52,B1,3.94,13.83,3.20,13.33,33.16,48.51
20160102,1,大村,6,4755,山田貴愛,27,長崎,52,B2,2.33,5.17,1.46,0.00,34.05,31.63
20160102,2,大村,1,3680,森林太,42,長崎,53,A2,5.87,41.26,5.79,40.00,36.76,34.95
20160102,2,大村,2,3773,津留浩一,41,長崎,54,A2,6.28,47.83,5.91,43.33,26.37,39.39
20160102,2,大村,3,3153,前川竜次,51,佐賀,52,B1,4.55,32.17,3.89,21.31,37.27,33.94
20160102,2,大村,4,4164,岩永節也,33,長崎,55,B1,4.13,12.37,4.58,24.42,37.78,33.67
20160102,2,大村,5,4429,豊田泰洋,30,広島,57,B1,4.91,28.13,4.21,23.53,31.98,26.14
20160102,2,大村,6,3972,富永恭史,39,長崎,58,B2,2.77,0.00,2.66,1.69,40.72,48.48
20160102,3,大村,1,4497,桑原悠,28,長崎,51,A2,6.30,40.82,6.18,44.57,30.23,36.73
20160102,3,大村,2,3070,山室展弘,54,岡山,51,A1,6.52,46.85,6.58,50.00,30.73,21.98
20160102,3,大村,3,3788,一宮稔弘,44,徳島,53,A2,5.92,39.81,6.04,39.13,39.79,16.09
20160102,3,大村,4,3501,川上昇平,46,長崎,53,A2,5.85,37.59,6.09,40.78,36.65,22.47
20160102,3,大村,5,4705,吉川勇作,27,長崎,54,B1,3.83,16.35,3.09,8.70,42.93,37.76
20160102,3,大村,6,3571,寺本武司,44,長崎,53,B1,3.78,16.25,4.85,25.93,36.22,32.00
20160102,4,大村,1,3708,岡部貴司,41,岡山,55,A2,5.71,37.41,5.34,34.21,39.78,37.86
