Date,会場,Round,着順結果,艇番,選手登番,選手名,モーターNo,ボートNo,展示タイム,進入順位,スタートタイム,レースタイム,試合タイプ,コース距離,天候,風向,風速,波高,決まり手
20151114,福岡,1,1,1,3176,長谷川巌,63,116,6.96,1,0.14,111.9,予選,1800,雨,北,1,1,逃げ
20151114,福岡,1,2,3,4741,中村直喜,37,113,6.96,3,0.19,112.8,予選,1800,雨,北,1,1,逃げ
20151114,福岡,1,3,2,4104,木下陽介,35,121,6.94,2,0.32,114.6,予選,1800,雨,北,1,1,逃げ
20151114,福岡,1,4,5,4360,庄司孝輔,72,165,6.97,5,0.27,115.6,予選,1800,雨,北,1,1,逃げ
20151114,福岡,1,5,4,3632,江並浩一,48,143,6.98,4,0.30,NaN,予選,1800,雨,北,1,1,逃げ
20151114,福岡,1,6,6,4899,占部一真,71,142,6.92,6,0.25,NaN,予選,1800,雨,北,1,1,逃げ
20151114,福岡,2,1,2,3995,重野哲之,67,161,6.96,3,0.16,110.2,予選,1800,曇り,北,1,2,まくり差し
20151114,福岡,2,2,1,3896,上田洋平,31,119,6.90,1,0.09,112.4,予選,1800,曇り,北,1,2,まくり差し
20151114,福岡,2,3,5,3670,古澤信二,16,108,6.92,5,0.26,113.7,予選,1800,曇り,北,1,2,まくり差し
20151114,福岡,2,4,3,4366,前沢丈史,69,169,7.04,4,0.25,114.4,予選,1800,曇り,北,1,2,まくり差し
20151114,福岡,2,5,4,2585,原由樹夫,53,137,6.97,2,0.18,NaN,予選,1800,曇り,北,1,2,まくり差し
20151114,福岡,2,6,6,4892,柴田直哉,39,162,6.94,6,0.10,NaN,予選,1800,曇り,北,1,2,まくり差し
20151114,福岡,3,1,1,4415,下出卓矢,70,145,7.01,1,0.14,111.1,予選,1800,雨,北西,1,2,逃げ
20151114,福岡,3,2,2,3859,多羅尾達之,32,129,7.04,3,0.16,112.3,予選,1800,雨,北西,1,2,逃げ
20151114,福岡,3,3,3,3211,北川敏弘,13,127,7.01,4,0.25,113.1,予選,1800,雨,北西,1,2,逃げ
